1968 Household Travel Survey,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"HOME TO WORK AND WORK TO HOME TRIPS, ALL DAY",,,,,,PROPORTIONS,,,,,CUMULATIVE,,,,,,EQUATION,,,,,EQUATION: BALANCED,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"NON-WORK TRIPS, ALL DAY, SHOP and SOCIAL/RECREATIONAL and SCHOOL and PICKUP/DROPOFF",,,,,,,,,,,,,,,,,,,,,,,,,
,NUMBERS,,,,,PROPORTION,,,,,CUMULATIVE,,,,,,,,,,,,,,
,AU1,AU2,TRN,,,AU1,AU2,TRN,,,AU1,AU2,TRN,,,,EQUATION,,,,,,,,
2.5,255484,435268,878,,,=B54/B$73,=C54/C$73,=D54/D$73,,,=G54,=H54,=I54,,,,=EXP(3.29-0.076*$A54)/100,=EXP(3.23-0.074*$A54)/100,=EXP(1.8-0.0003*$A54*$A54)/100,,,=R54/R$73,=S54/S$73,=T54/T$73,
7.5,233873,432250,4643,,,=B55/B$73,=C55/C$73,=D55/D$73,,,=G55+L54,=H55+M54,=I55+N54,,,,=EXP(3.29-0.076*$A55)/100,=EXP(3.23-0.074*$A55)/100,=EXP(1.8-0.0003*$A55*$A55)/100,,,=R55/R$73,=S55/S$73,=T55/T$73,
12.5,191255,374785,11776,,,=B56/B$73,=C56/C$73,=D56/D$73,,,=G56+L55,=H56+M55,=I56+N55,,,,=EXP(3.29-0.076*$A56)/100,=EXP(3.23-0.074*$A56)/100,=EXP(1.8-0.0003*$A56*$A56)/100,,,=R56/R$73,=S56/S$73,=T56/T$73,
