,ADT,APT,AU1,AUDR2,AUDR3,AUPX,BCRAIL,BUS,WALK,WCRAIL,AU2+,ALLWCT,ALLTRN,ALLTRIPS,,FACTOR,ADT,APT,AU1,AUDR2,AUDR3,AUPX,BCRAIL,BUS,WALK,WCRAIL,AU2+,ALLWCT,ALLTRN,ALLTRIPS,NONAUTO,AUTO,,,,ADT,APT,AU1,AUDR2,AUDR3,AUPX,BCRAIL,BUS,WALK,WCRAIL,AU2+,ALLWCT,ALLTRN,ALLTRIPS,NONAUTO,AUTO,,ADT,APT,AU1,AUDR2,AUDR3,AUPX,BCRAIL,BUS,WALK,WCRAIL,AU2+,ALLWCT,ALLTRN,ALLTRIPS,,TIME,P,ln(p),TIME^2,TIME,TIME^0.5,PREDICTED,ADJ PRED,Degrees of Freedom,,,15,,,,5,10,57638.08,0.0707,122037.5,0.1497,,,0.10676637,,Constant,,,0.0039642923,,,,10,15,113154.9,0.1228,300897.4,0.3266,,10,15,8788.825,0.0545,20891.97,0.1296,=DF6/$DF$23,=DI6/SUM($DG$4:$DG$20)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINKED WORK TRIPS - 1988: DISTRIBUTION in 5 minute intervals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LKAU1,LKAU2,LKTRN,LKWALK,ALLTRIPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LKAU1,LKAU2,LKTRN,LKWALK,,,,,,,,,,,,,,AU1,AU2,TRN,WALK,,,,,,,,,,,,TIME,P,ln(p),TIME^2,TIME,TIME^0.5,PREDICTED,,,,Regression Output:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,13709,4094,441,1732,=SUM(B105:E105),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,=B105/B$125,=C105/C$125,=D105/D$125,=E105/E$125,=F105/F$125,,,,,,,,,,,,,=AK105,=AL105,=AM105,=AN105,=AO105,,,,,,,,,,,2.5,=AO105,=LN(BR105),=BU105*BU105,=BQ105,=SQRT(BQ105),=EXP(+$CC$105+0*$CB$111*BT105+$CB$111*BU105+$CC$111*BV105),=BW105/$BW$26,,Constant,,,-3.463049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5,28549,11692,1922,1684,=SUM(B106:E106),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,=B106/B$125,=C106/C$125,=D106/D$125,=E106/E$125,=F106/F$125,,,,,,,,,,,,,=AK106+BB105,=AL106+BC105,=AM106+BD105,=AN106+BE105,=AO106+BF105,,,,,,,,,,,7.5,=AO106,=LN(BR106),=BU106*BU106,=BQ106,=SQRT(BQ106),=EXP(+$CC$105+0*$CB$111*BT106+$CB$111*BU106+$CC$111*BV106),=BW106/$BW$26,,Std Err of Y Est,,,0.33076602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.5,33105,11953,3199,1384,=SUM(B107:E107),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,=B107/B$125,=C107/C$125,=D107/D$125,=E107/E$125,=F107/F$125,,,,,,,,,,,,,=AK107+BB106,=AL107+BC106,=AM107+BD106,=AN107+BE106,=AO107+BF106,,,,,,,,,,,12.5,=AO107,=LN(BR107),=BU107*BU107,=BQ107,=SQRT(BQ107),=EXP(+$CC$105+0*$CB$111*BT107+$CB$111*BU107+$CC$111*BV107),=BW107/$BW$26,,R Squared,,,0.94352098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5,26314,10380,1429,623,=SUM(B108:E108),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,=B108/B$125,=C108/C$125,=D108/D$125,=E108/E$125,=F108/F$125,,,,,,,,,,,,,=AK108+BB107,=AL108+BC107,=AM108+BD107,=AN108+BE107,=AO108+BF107,,,,,,,,,,,17.5,=AO108,=LN(BR108),=BU108*BU108,=BQ108,=SQRT(BQ108),=EXP(+$CC$105+0*$CB$111*BT108+$CB$111*BU108+$CC$111*BV108),=BW108/$BW$26,,No. of Observations,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.5,13826,4836,2733,345,=SUM(B109:E109),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,=B109/B$125,=C109/C$125,=D109/D$125,=E109/E$125,=F109/F$125,,,,,,,,,,,,,=AK109+BB108,=AL109+BC108,=AM109+BD108,=AN109+BE108,=AO109+BF108,,,,,,,,,,,22.5,=AO109,=LN(BR109),=BU109*BU109,=BQ109,=SQRT(BQ109),=EXP(+$CC$105+0*$CB$111*BT109+$CB$111*BU109+$CC$111*BV109),=BW109/$BW$26,,Degrees of Freedom,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.5,29061,11732,1395,272,=SUM(B110:E110),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,=B110/B$125,=C110/C$125,=D110/D$125,=E110/E$125,=F110/F$125,,,,,,,,,,,,,=AK110+BB109,=AL110+BC109,=AM110+BD109,=AN110+BE109,=AO110+BF109,,,,,,,,,,,27.5,=AO110,=LN(BR110),=BU110*BU110,=BQ110,=SQRT(BQ110),=EXP(+$CC$105+0*$CB$111*BT110+$CB$111*BU110+$CC$111*BV110),=BW110/$BW$26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.5,11374,6488,1977,139,=SUM(B111:E111),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,=B111/B$125,=C111/C$125,=D111/D$125,=E111/E$125,=F111/F$125,,,,,,,,,,,,,=AK111+BB110,=AL111+BC110,=AM111+BD110,=AN111+BE110,=AO111+BF110,,,,,,,,,,,32.5,=AO111,=LN(BR111),=BU111*BU111,=BQ111,=SQRT(BQ111),=EXP(+$CC$105+0*$CB$111*BT111+$CB$111*BU111+$CC$111*BV111),=BW111/$BW$26,,X Coefficient(s),,-0.10517417,0.75240408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.5,8977,4774,2697,0,=SUM(B112:E112),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,=B112/B$125,=C112/C$125,=D112/D$125,=E112/E$125,=F112/F$125,,,,,,,,,,,,,=AK112+BB111,=AL112+BC111,=AM112+BD111,=AN112+BE111,=AO112+BF111,,,,,,,,,,,37.5,=AO112,=LN(BR112),=BU112*BU112,=BQ112,=SQRT(BQ112),=EXP(+$CC$105+0*$CB$111*BT112+$CB$111*BU112+$CC$111*BV112),=BW112/$BW$26,,Std Err of Coef.,,0.01458779,0.17532998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.5,11755,4966,545,0,=SUM(B113:E113),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,=B113/B$125,=C113/C$125,=D113/D$125,=E113/E$125,=F113/F$125,,,,,,,,,,,,,=AK113+BB112,=AL113+BC112,=AM113+BD112,=AN113+BE112,=AO113+BF112,,,,,,,,,,,42.5,=AO113,=LN(BR113),=BU113*BU113,=BQ113,=SQRT(BQ113),=EXP(+$CC$105+0*$CB$111*BT113+$CB$111*BU113+$CC$111*BV113),=BW113/$BW$26,,,,=CB111/CB112,=CC111/CC112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.5,4812,2598,602,0,=SUM(B114:E114),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,=B114/B$125,=C114/C$125,=D114/D$125,=E114/E$125,=F114/F$125,,,,,,,,,,,,,=AK114+BB113,=AL114+BC113,=AM114+BD113,=AN114+BE113,=AO114+BF113,,,,,,,,,,,47.5,=AO114,=LN(BR114),=BU114*BU114,=BQ114,=SQRT(BQ114),=EXP(+$CC$105+0*$CB$111*BT114+$CB$111*BU114+$CC$111*BV114),=BW114/$BW$26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.5,3677,1936,2594,0,=SUM(B115:E115),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,=B115/B$125,=C115/C$125,=D115/D$125,=E115/E$125,=F115/F$125,,,,,,,,,,,,,=AK115+BB114,=AL115+BC114,=AM115+BD114,=AN115+BE114,=AO115+BF114,,,,,,,,,,,52.5,=AO115,=LN(BR115),=BU115*BU115,=BQ115,=SQRT(BQ115),=EXP(+$CC$105+0*$CB$111*BT115+$CB$111*BU115+$CC$111*BV115),=BW115/$BW$26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.5,6404,4085,369,0,=SUM(B116:E116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,=B116/B$125,=C116/C$125,=D116/D$125,=E116/E$125,=F116/F$125,,,,,,,,,,,,,=AK116+BB115,=AL116+BC115,=AM116+BD115,=AN116+BE115,=AO116+BF115,,,,,,,,,,,57.5,=AO116,=LN(BR116),=BU116*BU116,=BQ116,=SQRT(BQ116),=EXP(+$CC$105+0*$CB$111*BT116+$CB$111*BU116+$CC$111*BV116),=BW116/$BW$26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.5,2150,1311,1236,0,=SUM(B117:E117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,=B117/B$125,=C117/C$125,=D117/D$125,=E117/E$125,=F117/F$125,,,,,,,,,,,,,=AK117+BB116,=AL117+BC116,=AM117+BD116,=AN117+BE116,=AO117+BF116,,,,,,,,,,,62.5,=AO117,=LN(BR117),=BU117*BU117,=BQ117,=SQRT(BQ117),=EXP(+$CC$105+0*$CB$111*BT117+$CB$111*BU117+$CC$111*BV117),=BW117/$BW$26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.5,1060,772,1527,0,=SUM(B118:E118),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,=B118/B$125,=C118/C$125,=D118/D$125,=E118/E$125,=F118/F$125,,,,,,,,,,,,,=AK118+BB117,=AL118+BC117,=AM118+BD117,=AN118+BE117,=AO118+BF117,,,,,,,,,,,67.5,=AO118,=LN(BR118),=BU118*BU118,=BQ118,=SQRT(BQ118),=EXP(+$CC$105+0*$CB$111*BT118+$CB$111*BU118+$CC$111*BV118),=BW118/$BW$26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.5,2163,2254,600,0,=SUM(B119:E119),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,=B119/B$125,=C119/C$125,=D119/D$125,=E119/E$125,=F119/F$125,,,,,,,,,,,,,=AK119+BB118,=AL119+BC118,=AM119+BD118,=AN119+BE118,=AO119+BF118,,,,,,,,,,,72.5,=AO119,=LN(BR119),=BU119*BU119,=BQ119,=SQRT(BQ119),=EXP(+$CC$105+0*$CB$111*BT119+$CB$111*BU119+$CC$111*BV119),=BW119/$BW$26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.5,823,396,243,0,=SUM(B120:E120),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,=B120/B$125,=C120/C$125,=D120/D$125,=E120/E$125,=F120/F$125,,,,,,,,,,,,,=AK120+BB119,=AL120+BC119,=AM120+BD119,=AN120+BE119,=AO120+BF119,,,,,,,,,,,77.5,=AO120,=LN(BR120),=BU120*BU120,=BQ120,=SQRT(BQ120),=EXP(+$CC$105+0*$CB$111*BT120+$CB$111*BU120+$CC$111*BV120),=BW120/$BW$26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.5,852,193,307,0,=SUM(B121:E121),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,=B121/B$125,=C121/C$125,=D121/D$125,=E121/E$125,=F121/F$125,,,,,,,,,,,,,=AK121+BB120,=AL121+BC120,=AM121+BD120,=AN121+BE120,=AO121+BF120,,,,,,,,,,,82.5,=AO121,=LN(BR121),=BU121*BU121,=BQ121,=SQRT(BQ121),=EXP(+$CC$105+0*$CB$111*BT121+$CB$111*BU121+$CC$111*BV121),=BW121/$BW$26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.5,951,914,0,0,=SUM(B122:E122),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,=B122/B$125,=C122/C$125,=D122/D$125,=E122/E$125,=F122/F$125,,,,,,,,,,,,,=AK122+BB121,=AL122+BC121,=AM122+BD121,=AN122+BE121,=AO122+BF121,,,,,,,,,,,87.5,=AO122,=LN(BR122),=BU122*BU122,=BQ122,=SQRT(BQ122),=EXP(+$CC$105+0*$CB$111*BT122+$CB$111*BU122+$CC$111*BV122),=BW122/$BW$26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,444,191,0,0,=SUM(B123:E123),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,=B123/B$125,=C123/C$125,=D123/D$125,=E123/E$125,=F123/F$125,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.5,=AO123,=LN(BR123),=BU123*BU123,=BQ123,=SQRT(BQ123),=EXP(+$CC$105+0*$CB$111*BT123+$CB$111*BU123+$CC$111*BV123),=BW123/$BW$26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,=SUM(B105:B124),=SUM(C105:C124),=SUM(D105:D124),=SUM(E105:E124),=SUM(F105:F124),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,express bus access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,auto,walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,196,69,,,,,=EXP(3.96-0.145*A145),=H145/H$154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,135,26,,,,,=EXP(3.96-0.145*A146),=H146/H$154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,68,13,,,,,=EXP(3.96-0.145*A147),=H147/H$154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,49,3,,,,,=EXP(3.96-0.145*A148),=H148/H$154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,14,2,,,,,=EXP(3.96-0.145*A149),=H149/H$154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,3,4,,,,,=EXP(3.96-0.145*A150),=H150/H$154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,0,,,,,=EXP(3.96-0.145*A151),=H151/H$154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,3,,,,,,=EXP(3.96-0.145*A152),=H152/H$154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,=SUM(B145:B152),=SUM(C145:C152),,,,,=SUM(H145:H152),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU1.68-88,Line,Auto 1 Distribution by Purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUTO1.88,Line,AUTO 1 TRIPS - 1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUM.1968,Line,1968 Cumulative Distribution by Mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUM.1988,Line,1988 Cumulative Distribution by Mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
